type,year,quarter,category,count,amount,brand,percentage
user,,,,57754,,Tecno,0.0097607538734833
user,,,,53501,,Infinix,0.0090419727289059
user,,,,344930,,Others,0.058295128191651
user,,,,12990,,Xiaomi,0.2439070186638627
user,,,,10123,,Samsung,0.1900747305569116
user,,,,8579,,Vivo,0.1610837808404371
user,,,,5623,,Oppo,0.1055803822899846
user,,,,3008,,Realme,0.0564797776859814
user,,,,1714,,Lenovo,0.0321829584287806
user,,,,1527,,Motorola,0.0286717488452439
user,,,,1436,,Apple,0.0269630853580682
user,,,,1090,,OnePlus,0.0204664088024334
user,,,,847,,Micromax,0.0159037139960193
user,,,,6321,,Others,0.1186863945322768
user,,,,17620,,Xiaomi,0.2465784096952055
user,,,,13325,,Samsung,0.1864731730527022
user,,,,12204,,Vivo,0.170785636317837
user,,,,7585,,Oppo,0.106146267737692
user,,,,3991,,Realme,0.0558509893923703
user,,,,2117,,Lenovo,0.0296257941728008
user,,,,1935,,Motorola,0.0270788435164712
user,,,,1812,,Apple,0.0253575526882924
user,,,,1328,,OnePlus,0.0185843432505807
user,,,,1132,,Huawei,0.015841473312995
user,,,,8409,,Others,0.1176775168630524
user,,,,22407,,Xiaomi,0.2432714125962196
user,,,,17165,,Samsung,0.1863593429381046
user,,,,16781,,Vivo,0.1821902786976017
user,,,,9875,,Oppo,0.1072122639973074
user,,,,5100,,Realme,0.055370384444179
user,,,,2523,,Lenovo,0.0273920548926791
user,,,,2378,,Motorola,0.0258177988643642
user,,,,2146,,Apple,0.0232989892190604
user,,,,1545,,OnePlus,0.0167739694051483
user,,,,1514,,Huawei,0.0164374043232327
user,,,,10673,,Others,0.1158761006221025
user,,,,28477,,Xiaomi,0.2444146904584116
user,,,,22409,,Vivo,0.1923337710602432
user,,,,21520,,Samsung,0.1847035902189492
user,,,,12699,,Oppo,0.1089940005664701
user,,,,6489,,Realme,0.0556943121250354
user,,,,2931,,Lenovo,0.0251564229986868
user,,,,2811,,Motorola,0.0241264773283209
user,,,,2546,,Apple,0.0218520139729295
user,,,,2029,,Huawei,0.0174146647097698
user,,,,1795,,OnePlus,0.0154062706525564
user,,,,12805,,Others,0.1099037859086266
